PLAYER,TEAM_BBREF,MP,BPM,SEASON
Shaquille O'Neal,2TM,1748.0,-1.1,2007-08
Shaquille O'Neal,MIA,945.0,-1.5,2007-08
Shaquille O'Neal,PHO,803.0,-0.6,2007-08
Chris Wilcox,SEA,1739.0,-1.0,2007-08
Wally Szczerbiak,2TM,1736.0,-0.5,2007-08
Wally Szczerbiak,SEA,1180.0,0.7,2007-08
Wally Szczerbiak,CLE,556.0,-2.9,2007-08
Kelenna Azubuike,GSW,1732.0,-0.8,2007-08
Kyle Korver,2TM,1732.0,0.3,2007-08
Kyle Korver,PHI,657.0,-1.1,2007-08
Kyle Korver,UTA,1075.0,1.2,2007-08
Luke Walton,LAL,1729.0,-0.3,2007-08
Joe Smith,2TM,1726.0,-1.1,2007-08
Joe Smith,CHI,1146.0,-0.6,2007-08
Joe Smith,CLE,580.0,-2.0,2007-08
Maurice Evans,2TM,1720.0,1.0,2007-08
Maurice Evans,LAL,96.0,2.0,2007-08
Maurice Evans,ORL,1624.0,0.9,2007-08
Roger Mason,WAS,1708.0,0.0,2007-08
Paul Millsap,UTA,1702.0,-0.2,2007-08
Desmond Mason,MIL,1702.0,-2.1,2007-08
Jordan Farmar,LAL,1690.0,1.3,2007-08
Andray Blatche,WAS,1675.0,-1.7,2007-08
Brevin Knight,LAC,1674.0,-1.7,2007-08
Eduardo Nájera,DEN,1664.0,0.2,2007-08
Darko Miličić,MEM,1663.0,-3.8,2007-08
Boštjan Nachbar,NJN,1660.0,-1.8,2007-08
Nazr Mohammed,2TM,1650.0,-2.3,2007-08
Nazr Mohammed,DET,228.0,-3.1,2007-08
Nazr Mohammed,CHA,1422.0,-2.2,2007-08
Yi Jianlian,MIL,1647.0,-3.9,2007-08
Fabricio Oberto,SAS,1644.0,0.4,2007-08
Charlie Bell,MIL,1628.0,-2.5,2007-08
Kurt Thomas,2TM,1584.0,0.1,2007-08
Kurt Thomas,SEA,1060.0,0.8,2007-08
Kurt Thomas,SAS,524.0,-1.1,2007-08
Chuck Hayes,HOU,1575.0,0.8,2007-08
Mike Bibby,2TM,1573.0,-1.3,2007-08
Mike Bibby,SAC,473.0,-1.2,2007-08
Mike Bibby,ATL,1100.0,-1.3,2007-08
Bonzi Wells,2TM,1562.0,-0.3,2007-08
Bonzi Wells,HOU,1124.0,-0.2,2007-08
Bonzi Wells,NOH,438.0,-0.4,2007-08
Brandon Bass,DAL,1557.0,-0.4,2007-08
Darius Songaila,WAS,1554.0,-2.6,2007-08
Thaddeus Young,PHI,1554.0,0.5,2007-08
Craig Smith,MIN,1547.0,-1.3,2007-08
Marquis Daniels,IND,1546.0,-2.4,2007-08
Mark Blount,MIA,1542.0,-4.0,2007-08
Joakim Noah,CHI,1534.0,-0.2,2007-08
Delonte West,2TM,1533.0,-0.8,2007-08
Delonte West,SEA,727.0,-2.8,2007-08
Delonte West,CLE,806.0,1.1,2007-08
Anthony Johnson,2TM,1531.0,-1.6,2007-08
Anthony Johnson,ATL,1121.0,-0.7,2007-08
Anthony Johnson,SAC,410.0,-4.1,2007-08
Jason Kapono,TOR,1530.0,-2.7,2007-08
Eddy Curry,NYK,1530.0,-2.8,2007-08
Bobby Simmons,MIL,1521.0,-3.2,2007-08
Quinton Ross,LAC,1505.0,-3.2,2007-08
Kareem Rush,IND,1504.0,-2.3,2007-08
Jannero Pargo,NOH,1497.0,-2.7,2007-08
Chris Duhon,CHI,1490.0,-1.7,2007-08
Rasho Nesterović,TOR,1486.0,0.0,2007-08
Vladimir Radmanović,LAL,1483.0,0.2,2007-08
Eddie House,BOS,1480.0,1.8,2007-08
Ronny Turiaf,LAL,1458.0,0.7,2007-08
Daequan Cook,MIA,1441.0,-5.2,2007-08
