SERIES_KEY,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_ABBREV,AWAY_ABBREV,HOME_WINS,TOTAL_GAMES,AWAY_WINS,SERIES_WINNER,SEASON
1610612748_1610612761,1610612761,1610612748,TOR,MIA,5,7,2,TOR,2015-16
1610612748_1610612766,1610612748,1610612766,MIA,CHA,5,7,2,MIA,2015-16
1610612754_1610612761,1610612761,1610612754,TOR,IND,5,7,2,TOR,2015-16
1610612759_1610612760,1610612760,1610612759,OKC,SAS,3,6,3,SAS,2015-16
1610612759_1610612763,1610612763,1610612759,MEM,SAS,2,4,2,SAS,2015-16
1610612737_1610612764,1610612737,1610612764,ATL,WAS,5,6,1,ATL,2016-17
1610612738_1610612739,1610612738,1610612739,BOS,CLE,1,5,4,CLE,2016-17
1610612738_1610612741,1610612741,1610612738,CHI,BOS,1,6,5,BOS,2016-17
1610612738_1610612764,1610612738,1610612764,BOS,WAS,7,7,0,BOS,2016-17
1610612739_1610612744,1610612744,1610612739,GSW,CLE,4,5,1,GSW,2016-17
1610612739_1610612754,1610612754,1610612739,IND,CLE,2,4,2,CLE,2016-17
1610612739_1610612761,1610612761,1610612739,TOR,CLE,2,4,2,CLE,2016-17
1610612744_1610612757,1610612757,1610612744,POR,GSW,2,4,2,GSW,2016-17
1610612744_1610612759,1610612759,1610612744,SAS,GSW,2,4,2,GSW,2016-17
1610612744_1610612762,1610612762,1610612744,UTA,GSW,2,4,2,GSW,2016-17
1610612745_1610612759,1610612745,1610612759,HOU,SAS,3,6,3,SAS,2016-17
1610612745_1610612760,1610612745,1610612760,HOU,OKC,4,5,1,HOU,2016-17
1610612746_1610612762,1610612746,1610612762,LAC,UTA,2,7,5,UTA,2016-17
1610612749_1610612761,1610612749,1610612761,MIL,TOR,3,6,3,TOR,2016-17
1610612759_1610612763,1610612763,1610612759,MEM,SAS,5,6,1,MEM,2016-17
1610612738_1610612739,1610612738,1610612739,BOS,CLE,6,7,1,BOS,2017-18
1610612738_1610612749,1610612738,1610612749,BOS,MIL,7,7,0,BOS,2017-18
1610612738_1610612755,1610612738,1610612755,BOS,PHI,4,5,1,BOS,2017-18
1610612739_1610612744,1610612739,1610612744,CLE,GSW,2,4,2,GSW,2017-18
1610612739_1610612754,1610612739,1610612754,CLE,IND,5,7,2,CLE,2017-18
1610612739_1610612761,1610612739,1610612761,CLE,TOR,2,4,2,TOR,2017-18
1610612740_1610612744,1610612744,1610612740,GSW,NOP,4,5,1,GSW,2017-18
1610612740_1610612757,1610612740,1610612757,NOP,POR,2,4,2,POR,2017-18
1610612744_1610612745,1610612745,1610612744,HOU,GSW,4,7,3,HOU,2017-18
1610612744_1610612759,1610612744,1610612759,GSW,SAS,4,5,1,GSW,2017-18
1610612745_1610612750,1610612745,1610612750,HOU,MIN,4,5,1,HOU,2017-18
1610612745_1610612762,1610612745,1610612762,HOU,UTA,2,5,3,UTA,2017-18
1610612748_1610612755,1610612755,1610612748,PHI,MIA,2,5,3,MIA,2017-18
1610612760_1610612762,1610612762,1610612760,UTA,OKC,5,6,1,UTA,2017-18
1610612761_1610612764,1610612764,1610612761,WAS,TOR,5,6,1,WAS,2017-18
1610612738_1610612749,1610612749,1610612738,MIL,BOS,2,5,3,BOS,2018-19
1610612738_1610612754,1610612754,1610612738,IND,BOS,2,4,2,BOS,2018-19
1610612743_1610612757,1610612743,1610612757,DEN,POR,4,7,3,DEN,2018-19
1610612743_1610612759,1610612743,1610612759,DEN,SAS,5,7,2,DEN,2018-19
1610612744_1610612745,1610612745,1610612744,HOU,GSW,5,6,1,HOU,2018-19
1610612744_1610612746,1610612746,1610612744,LAC,GSW,1,6,5,GSW,2018-19
1610612744_1610612757,1610612757,1610612744,POR,GSW,2,4,2,GSW,2018-19
1610612744_1610612761,1610612744,1610612761,GSW,TOR,1,6,5,TOR,2018-19
1610612745_1610612762,1610612745,1610612762,HOU,UTA,4,5,1,HOU,2018-19
1610612749_1610612761,1610612761,1610612749,TOR,MIL,5,6,1,TOR,2018-19
1610612749_1610612765,1610612765,1610612749,DET,MIL,2,4,2,MIL,2018-19
1610612751_1610612755,1610612755,1610612751,PHI,BKN,2,5,3,BKN,2018-19
