SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42012,1610612748,MIA,Miami Heat,0041200103,2013-04-25,MIA @ MIL,W,239,104,41,79,0.519,8,19,0.421,14,25,0.56,12,31,43,31,11,3,19,24,13.0,2012-13
42012,1610612763,MEM,Memphis Grizzlies,0041200173,2013-04-25,MEM vs. LAC,W,239,94,31,80,0.388,4,16,0.25,28,38,0.737,17,28,45,18,11,3,10,22,12.0,2012-13
42012,1610612747,LAL,Los Angeles Lakers,0041200152,2013-04-24,LAL @ SAS,L,240,91,37,82,0.451,8,22,0.364,9,13,0.692,12,28,40,18,5,9,13,20,-11.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200152,2013-04-24,SAS vs. LAL,W,239,102,42,82,0.512,7,14,0.5,11,14,0.786,9,28,37,21,7,7,8,17,11.0,2012-13
42012,1610612760,OKC,Oklahoma City Thunder,0041200142,2013-04-24,OKC vs. HOU,W,240,105,37,85,0.435,11,35,0.314,20,24,0.833,10,30,40,20,8,9,12,22,3.0,2012-13
42012,1610612737,ATL,Atlanta Hawks,0041200122,2013-04-24,ATL @ IND,L,239,98,39,79,0.494,9,23,0.391,11,20,0.55,11,30,41,25,7,4,14,24,-15.0,2012-13
42012,1610612745,HOU,Houston Rockets,0041200142,2013-04-24,HOU @ OKC,L,240,102,36,91,0.396,10,35,0.286,20,25,0.8,18,39,57,16,4,3,16,23,-3.0,2012-13
42012,1610612754,IND,Indiana Pacers,0041200122,2013-04-24,IND vs. ATL,W,239,113,41,87,0.471,10,25,0.4,21,29,0.724,15,32,47,22,10,5,10,19,15.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200102,2013-04-23,MIA vs. MIL,W,238,98,35,78,0.449,6,19,0.316,22,26,0.846,12,31,43,17,10,3,14,17,12.0,2012-13
42012,1610612738,BOS,Boston Celtics,0041200112,2013-04-23,BOS @ NYK,L,240,71,26,70,0.371,5,19,0.263,14,18,0.778,3,34,37,14,3,4,11,20,-16.0,2012-13
42012,1610612744,GSW,Golden State Warriors,0041200162,2013-04-23,GSW @ DEN,W,240,131,51,79,0.646,14,25,0.56,15,20,0.75,6,30,36,26,7,4,17,32,14.0,2012-13
42012,1610612749,MIL,Milwaukee Bucks,0041200102,2013-04-23,MIL @ MIA,L,239,86,36,72,0.5,4,18,0.222,10,17,0.588,4,29,33,23,9,2,16,21,-12.0,2012-13
42012,1610612752,NYK,New York Knicks,0041200112,2013-04-23,NYK vs. BOS,W,242,87,32,76,0.421,7,19,0.368,16,22,0.727,7,35,42,14,5,6,10,17,16.0,2012-13
42012,1610612743,DEN,Denver Nuggets,0041200162,2013-04-23,DEN vs. GSW,L,239,117,40,80,0.5,9,26,0.346,28,37,0.757,6,20,26,27,6,1,15,22,-14.0,2012-13
42012,1610612746,LAC,Los Angeles Clippers,0041200172,2013-04-22,LAC vs. MEM,W,240,93,37,78,0.474,2,15,0.133,17,22,0.773,9,31,40,19,5,10,13,27,2.0,2012-13
42012,1610612763,MEM,Memphis Grizzlies,0041200172,2013-04-22,MEM @ LAC,L,240,91,33,73,0.452,2,11,0.182,23,34,0.676,8,30,38,16,8,5,12,21,-2.0,2012-13
42012,1610612741,CHI,Chicago Bulls,0041200132,2013-04-22,CHI @ BKN,W,240,90,37,77,0.481,3,12,0.25,13,23,0.565,9,35,44,21,6,7,14,25,8.0,2012-13
42012,1610612751,BKN,Brooklyn Nets,0041200132,2013-04-22,BKN vs. CHI,L,241,82,29,82,0.354,4,21,0.19,20,23,0.87,11,28,39,22,8,5,12,19,-8.0,2012-13
42012,1610612749,MIL,Milwaukee Bucks,0041200101,2013-04-21,MIL @ MIA,L,241,87,34,82,0.415,7,26,0.269,12,20,0.6,10,21,31,14,10,0,12,23,-23.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200151,2013-04-21,SAS vs. LAL,W,241,91,32,85,0.376,7,22,0.318,20,25,0.8,8,35,43,20,12,3,9,21,12.0,2012-13
42012,1610612747,LAL,Los Angeles Lakers,0041200151,2013-04-21,LAL @ SAS,L,240,79,30,73,0.411,3,15,0.2,16,24,0.667,6,38,44,15,8,4,18,20,-12.0,2012-13
42012,1610612737,ATL,Atlanta Hawks,0041200121,2013-04-21,ATL @ IND,L,240,90,38,76,0.5,7,17,0.412,7,14,0.5,6,26,32,23,5,3,16,26,-17.0,2012-13
42012,1610612760,OKC,Oklahoma City Thunder,0041200141,2013-04-21,OKC vs. HOU,W,240,120,44,83,0.53,10,24,0.417,22,28,0.786,5,41,46,28,9,9,13,24,29.0,2012-13
42012,1610612754,IND,Indiana Pacers,0041200121,2013-04-21,IND vs. ATL,W,241,107,35,78,0.449,7,19,0.368,30,34,0.882,15,33,48,23,8,4,14,19,17.0,2012-13
42012,1610612745,HOU,Houston Rockets,0041200141,2013-04-21,HOU @ OKC,L,240,91,33,91,0.363,8,36,0.222,17,24,0.708,11,28,39,17,6,1,15,26,-29.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200101,2013-04-21,MIA vs. MIL,W,240,110,38,68,0.559,7,23,0.304,27,33,0.818,11,35,46,22,8,3,19,19,23.0,2012-13
42012,1610612746,LAC,Los Angeles Clippers,0041200171,2013-04-20,LAC vs. MEM,W,240,112,41,74,0.554,7,19,0.368,23,31,0.742,14,33,47,20,4,4,11,28,21.0,2012-13
42012,1610612751,BKN,Brooklyn Nets,0041200131,2013-04-20,BKN vs. CHI,W,240,106,43,77,0.558,6,14,0.429,14,17,0.824,6,33,39,18,6,5,8,21,17.0,2012-13
42012,1610612744,GSW,Golden State Warriors,0041200161,2013-04-20,GSW @ DEN,L,239,95,38,92,0.413,8,22,0.364,11,15,0.733,13,42,55,27,4,10,17,21,-2.0,2012-13
42012,1610612743,DEN,Denver Nuggets,0041200161,2013-04-20,DEN vs. GSW,W,239,97,38,85,0.447,3,16,0.188,18,28,0.643,7,38,45,16,9,4,11,18,2.0,2012-13
42012,1610612752,NYK,New York Knicks,0041200111,2013-04-20,NYK vs. BOS,W,239,85,32,79,0.405,9,25,0.36,12,15,0.8,10,30,40,13,15,4,13,23,7.0,2012-13
42012,1610612763,MEM,Memphis Grizzlies,0041200171,2013-04-20,MEM @ LAC,L,241,91,33,71,0.465,5,12,0.417,20,25,0.8,4,19,23,22,3,1,7,29,-21.0,2012-13
42012,1610612741,CHI,Chicago Bulls,0041200131,2013-04-20,CHI @ BKN,L,239,89,36,76,0.474,2,8,0.25,15,22,0.682,9,26,35,15,4,5,9,17,-17.0,2012-13
42012,1610612738,BOS,Boston Celtics,0041200111,2013-04-20,BOS @ NYK,L,241,78,27,65,0.415,5,20,0.25,19,19,1.0,4,36,40,18,5,5,20,17,-7.0,2012-13
